ocid,source_month,n_releases_in_record,buyer_id,buyer_name,buyer_department_raw,tender_title,tender_description,procurement_method,procurement_method_details,main_category,tender_value_amount,tender_currency,tender_date_published,num_tenderers,is_single_bidder_award,num_awards,award_value_amount,award_currency,winning_suppliers,encoding_fixed,buyer_department,department_is_valid
ocds-dgv273-seacev3-1235025,2026-07,26,PE-CONSUCODE-1249,MUNICIPALIDAD DISTRITAL DE MOLLEPATA - SANTIAGO DE CHUCO,LA LIBERTAD,LP-SM-1-2026-MDM/CS-1,"EJECUCION DE OBRA: CREACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL CASERIO DE OROCULLAY PARTE ALTA Y ANEXOS; TIERRAS AMARILLAS, TOTORA Y PAICHAPUQUE DISTRITO DE MOLLEPATA DE LA PROVINCIA DE SANTIAGO DE",open,Licitación Pública,works,6669729.14,PEN,2026-07-17T20:45:00-05:00,8,False,1,6669729.14,PEN,INVERSIONES MASVALP S.A.C.,False,LA LIBERTAD,True
ocds-dgv273-seacev3-1235026,2026-07,30,PE-CONSUCODE-2600,CONSEJO NACIONAL DE LA PERSONA CON DISCAPACIDAD,LIMA,LP-ABR-6-2026-CONADIS-2,"Adquisición de artículos de aseo y limpieza (NO INCLUIDOS EN EL CATÁLOGO ELECTRÓNICO DE ACUERDOS MARCO) para los Centros de Acogida Residencial de la Dirección de Prevención y Protección Integral, DPPI - CONADIS.",,Licitación Pública Abreviada,goods,140204.5,PEN,2026-07-16T17:15:00-05:00,15,False,1,136561.23,PEN,HERVIAS ALFARO DANY WILLIAMS,False,LIMA,True
ocds-dgv273-seacev3-1235027,2026-07,24,PE-CONSUCODE-1994,SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGIA,LIMA,LP-SM-2-2026-SENAMHI-1,"ADQUISICIÓN DE CAMIONETA; EN EL (LA) SERVICIO NACIONAL DE METEOROLOGÍA E HIDROLOGÍA DEL PERÚ (SENAMHI) EN EL CENTRO POBLADO JESÚS MARÍA, DISTRITO DE JESÚS MARÍA, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA, CON CUI N.° 2693418",open,Licitación Pública,goods,567293.05,PEN,2026-07-17T17:34:00-05:00,13,False,1,541800.0,PEN,CONSORCIO AUTONIZA,False,LIMA,True
ocds-dgv273-seacev3-1235028,2026-07,14,PE-CONSUCODE-10403,GOBIERNO REGIONAL DE APURIMAC-CHANKA,APURIMAC,SIE-SIE-30-2026-GSRCH-1,"ADQUISICION DE CEMENTO PORTLAND TIPO I, PARA EL SISTEMA HIDRAULICO N° 03 ¿ DEL PROYECTO ¿MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA PARA RIEGO EN LAS COMUNIDADES DE ÑAHUINPUQUIO, CUMANAYLLA, HUANCABAMBA, SECTORES AYAPATA, HATUNCURVA, PROGRESO, SEÑALPATA, PANTEONPATA, POTRERO OCCO, CCALLPA MOCCO,",open,Subasta Inversa Electrónica,goods,398520.03,PEN,2026-07-17T17:30:00-05:00,6,False,1,389999.0,PEN,TRUYENQUE MALPARTIDA CESAR,False,APURIMAC,True
ocds-dgv273-seacev3-1235030,2026-07,21,PE-CONSUCODE-764,MUNICIPALIDAD PROVINCIAL DE ANTA,CUSCO,SIE-SIE-7-2026-MPA-DEC-1,CONTRATACIÓN DE VARILLAS DE ACERO CORRUGADO FY=4200 KG/CM2 GRADO 60 PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO DE RECREACION ACTIVA MEDIANTE GRASS SINTETICO EN LA COMUNIDAD CAMPESINA DE MANTOCLLA DISTRITO DE ANTA - PROVINCIA DE ANTA - DEPARTAMENTO DE CUSCO,open,Subasta Inversa Electrónica,goods,81453.1,PEN,2026-07-17T17:05:00-05:00,16,False,1,58800.0,PEN,FERRO ACEROS DEL SUR EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,False,CUSCO,True
ocds-dgv273-seacev3-1235031,2026-07,15,PE-CONSUCODE-200441,GOBIERNO REGIONAL DE LAMBAYEQUE - HOSPITAL REGIONAL LAMBAYEQUE,LAMBAYEQUE,CP-ABR-4-2024-HRL-C-1-1,CONTRATACIÓN DEL SERVICIO DE ALIMENTACIÓN PARA PERSONAL DE GUARDIA Y PACIENTES DEL HOSPITAL REGIONAL LAMBAYEQUE,,Concurso Público Abreviado,services,5968644.0,PEN,2026-07-20T08:04:00-05:00,7,False,1,5956764.0,PEN,CONSORCIO ALMAXA,False,LAMBAYEQUE,True
ocds-dgv273-seacev3-1235032,2026-07,15,PE-CONSUCODE-200302,II DIRECCION TERRITORIAL DE POLICIA CHICLAYO,LAMBAYEQUE,CP-ABR-65-2026-II-DIRTEPOL-CHICLAYO-1,SERVICIO DE ALIMENTACIÓN PARA PERSONAL PNP (OFICIALES Y SUBOFICIALES DE ARMAS Y DE SERVICIOS) PERTENECIENTES A LA CPNP PICSI,,Concurso Público Abreviado,services,0.0,PEN,2026-07-16T10:18:00-05:00,5,False,1,112935.46,PEN,LUXISERVS S.A.C.,False,LAMBAYEQUE,True
ocds-dgv273-seacev3-1235033,2026-07,23,PE-CONSUCODE-2376,SERVICIO MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CHINCHA S.A.,ICA,CP-ABR-1-2026-SEMAPACH S.A.-2,"CONTRATACIÓN DE SERVICIO DE CONSULTORIA PARA ELABORACION DE EXPEDIENTE TECNICO ""MEJORAMIENTO DEL SERVICIO DE ALCANTARILLADO EN PANAMERICANA SUR ENTRE LA AV. OSCAR R. BENAVIDES HASTA SALTO LIZA"" DISTRITO DE SUNAMPE, PROVINCIA DE CHINCHA DEL DEPARTAMENTO DE ICA, CON CUI N°2697909 DE LA EPS SEMAPACH S.",,Concurso Público Abreviado,services,170739.39,PEN,2026-07-17T19:17:00-05:00,15,,0,,,,False,ICA,True
ocds-dgv273-seacev3-1235035,2026-07,18,PE-CONSUCODE-764,MUNICIPALIDAD PROVINCIAL DE ANTA,CUSCO,SIE-SIE-9-2026-MPA-DEC-1,CONTRATACIÓN DE CEMENTO PORTLAND TIPO IP X 42.50 KG PARA EL PROYECTO CREACION DEL SERVICIO DE PRACTICA DEPORTIVA Y/O RECREATIVA EN EL CAMPO DEPORTIVO DE LA COMUNIDAD DE CCONCHACALLA DEL DISTRITO DE ANTA DE LA PROVINCIA DE ANTA DEL DEPARTAMENTO DE CUSCO,open,Subasta Inversa Electrónica,goods,63060.1,PEN,2026-07-17T17:06:00-05:00,10,False,1,64559.3,PEN,INVERSIONES & DISTRIBUCIONES D'MHARO S.A.C.,False,CUSCO,True
ocds-dgv273-seacev3-1235036,2026-07,8,PE-CONSUCODE-1566,MUNICIPALIDAD DISTRITAL DE TINYAHUARCO,PASCO,LP-ABR-3-2026-MDFT/OBRAS-1,"ejecución de la obra denominada ¿CREACION DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN EL JR. JUNIN VILLA DE PASCO DEL DISTRITO DE TINYAHUARCO - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO¿, CON CUI Nº 2442253",,Licitación Pública Abreviada,works,1856602.22,PEN,2026-07-17T17:36:00-05:00,0,,0,,,,False,PASCO,True
ocds-dgv273-seacev3-1235037,2026-07,37,PE-CONSUCODE-37,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,CUSCO,CP SER-SM-9-2026-CS-GR - CUSCO-1,"CONTRATACION DEL SERVICIO DE MANTENIMIENTO DE LA INFRAESTRUCTURA DEL NIVEL PRIMARIA DE LA I.E. SAGRADO CORAZON DE JESUS N° 721, DEL DISTRITO Y PROVINCIA DE CALCA, DEPARTAMENTO DEL CUSCO. Meta 0400.",,Concurso Público de Servicios,services,796972.36,PEN,2026-07-17T18:57:00-05:00,0,,0,,,,False,CUSCO,True
ocds-dgv273-seacev3-1235038,2026-07,18,PE-CONSUCODE-624,MUNICIPALIDAD DISTRITAL DE NAMORA,CAJAMARCA,LP-ABR-4-2026-MDN/CS-1,"CONTRATACION DE LA EJECUCIÓN DE LA OBRA: ""CONSTRUCCION DE COBERTURA; EN EL(LA) I.E. SANTA ROSA DISTRITO DE NAMORA, PROVINCIA CAJAMARCA, DEPARTAMENTO CAJAMARCA"" con CUI N° 2726774.",,Licitación Pública Abreviada,works,489660.66,PEN,2026-07-17T17:47:00-05:00,8,False,1,465177.63,PEN,CONSORCIO SANTA ROSA,False,CAJAMARCA,True
ocds-dgv273-seacev3-1235039,2026-07,12,PE-CONSUCODE-1721,MUNICIPALIDAD DISTRITAL DE UMACHIRI,PUNO,SIE-SIE-2-2026-MDU/DEC-1,ADQUISICIÓN DE CEMENTO PORTLAND TIPO IP SEGÚN ESPECIFICACIONES TÉCNICAS PARA LA OBRA ¿MEJORAMIENTO DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN EL ESTADIO MARIANO MELGAR DEL DISTRITO DE UMACHIRI DE LA PROVINCIA DE MELGAR DEL DEPARTAMENTO DE PUNO¿,open,Subasta Inversa Electrónica,goods,103459.63,PEN,2026-07-17T17:54:00-05:00,4,False,1,94841.6,PEN,IMPORTACIONES CHAPI E.I.R.L.,False,PUNO,True
ocds-dgv273-seacev3-1235040,2026-07,12,PE-CONSUCODE-1850,MUNICIPALIDAD PROVINCIAL DE JORGE BASADRE - LOCUMBA,TACNA,COMPRE-COMPRE-24-2026-OC-DEC/MPJB-2,"ADQUISICIÓN DE CHIPEADORA DESTROZADORA DE TRONCOS, PARA EL PLAN DE NEGOCIOS: MEJORAMIENTO DE LA PRODUCCIÓN DE PALTA FRESCA EN LA ASOCIACIÓN DE AGRICULTORES LOS CARZO DEL VALLE DE CINTO, DEL DISTRITO DE LOCUMBA, PROVINCIA JORGE BASADRE, REGIÓN TACNA.",open,Comparación de Precios,goods,52500.0,PEN,2026-07-20T18:35:00-05:00,3,,0,,,,False,TACNA,True
ocds-dgv273-seacev3-1235043,2026-07,14,PE-CONSUCODE-10362,GOBIERNO REGIONAL DE ANCASH - PROYECTO ESPECIAL CHINECAS,ANCASH,CP SER-SM-4-2026-P.E.CHINECAS-C-1,"CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO DEL DRAN CASCAJAL, TRAMO KM 0 + 000 AL KM 4 + 000 DISTRITO DE CHIMBOTE, PROVINCIA DEL SANTA - DEPARTAMENTO DE ÁNCASH.",,Concurso Público de Servicios,services,0.0,PEN,2026-07-17T23:58:00-05:00,0,,0,,,,False,ANCASH,True
ocds-dgv273-seacev3-1235048,2026-07,8,PE-CONSUCODE-32,GOBIERNO REGIONAL DE AMAZONAS SEDE CENTRAL,AMAZONAS,DIRECTA-DIRECTA-6-2026-GRA/DEC-1,"CONTRATACIÓN DE EJECUCIÓN DEL SALDO DE OBRA DEL PROYECTO: ¿MEJORAMIENTO DEL SERVICIO EDUCATIVO DE NIVEL SECUNDARIO DE LA INSTITUCION EDUCATIVA JVA EN EL CPM JUAN VELASCO ALVARADO, DISTRITO DE NIEVA ¿ PROVINCIA DE CONDORCANQUI, REGION AMAZONAS¿, CUI Nº2381267.",direct,Contratación Directa,works,1005165.68,PEN,2026-07-17T16:43:00-05:00,2,False,1,849346.98,PEN,CONSORCIO EJECUTOR AMAZONAS,False,AMAZONAS,True
